tool,input,jLZJD,ssdeep,matrix
GPT-3.5,1,,,
GPT-3.5,2,0.35,0.40,0.8297
GPT-3.5,3,0.39,0.41,0.8298
GPT-3.5,4,,,
GPT-4,1,0.30,0.00,0.8300
GPT-4,2,0.69,0.97,0.8298
GPT-4,3,0.39,0.00,0.8301
GPT-4,4,0.44,0.00,0.8295
Other tools,metame,0.58,0.57,0.8298
Other tools,pymetangine,0.61,0.46,0.8298
