tool,input,jLZJD,ssdeep,matrix
GPT-3.5,1,0.59,0.60,0.9377
GPT-3.5,2,0.52,0.54,0.8225
GPT-3.5,3,0.51,0.47,0.9167
GPT-3.5,4,0.53,0.54,0.9377
GPT-4,1,0.60,0.63,0.9240
GPT-4,2,0.52,0.60,0.9377
GPT-4,3,0.55,0.47,0.8411
GPT-4,4,0.46,0.52,0.9167
Other tools,metame,0.99,0.99,0.9167
Other tools,pymetangine,1.00,1.00,0.9167
