tool,input,jLZJD,ssdeep,matrix
GPT-3.5,1,0.68,0.60,0.21
GPT-3.5,2,0.74,0.66,0.20
GPT-3.5,3,0.83,0.72,0.19
GPT-3.5,4,0.89,0.88,0.20
GPT-4,1,0.84,0.79,0.20
GPT-4,2,0.56,0.46,0.21
GPT-4,3,0.28,0.21,0.06
GPT-4,4,0.43,0.40,0.13
