method,file,score
jlzjd,q_sort2,068
jlzjd,q_sort3,074
jlzjd,q_sort4,083
jlzjd,q_sort5,089

jlzjd,gq_sort2,084
jlzjd,gq_sort3,056
jlzjd,gq_sort4,028
jlzjd,gq_sort4,043




